id,artist_name,key,mode,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,hit,year,explicit,sentimentPos,sentimentNeg,sentimentComp,sentimentNeu,pos_neg_diff
6WKk8l8EXiwPBYlmSlhZWx,NF,8.0,1.0,Therapy Session,66,0.275,0.7040000000000001,331480.0,0.778,0.0,0.401,-6.722,0.156,109.963,0.465,0,2016,0.0,0.226,0.127,0.905,0.647,0.099
4iMKZMnyyfisxohuAyJIq1,ทรี ทู วัน,7.0,0.0,แค่ที่รัก ( My Boo ),41,0.112,0.742,262440.0,0.617,0.0,0.0931,-5.914,0.0295,97.047,0.532,0,2010,1.0,0.207,0.066,0.8779,0.726,0.141
0n7d3no0cHnsnkgfFzDuj4,Jimmy Eat World,9.0,1.0,A Praise Chorus,52,0.0249,0.461,243507.0,0.936,8.63e-06,0.222,-5.296,0.0678,184.18400000000003,0.484,0,2001,0.0,0.151,0.134,0.6345,0.715,0.016999999999999987
0vlTyXdxncOF0RRKTMWfpo,Madvillain,6.0,1.0,The Illest Villains,60,0.55,0.41,115360.0,0.8170000000000001,0.008,0.422,-9.217,0.289,101.611,0.335,0,2004,0.0,0.249,0.443,-0.9432,0.308,-0.194
3IHj8MpZwmzysu2141vOa8,Hot Tuna,4.0,1.0,99 Year Blues (Live),0,0.8740000000000001,0.521,526787.0,0.31,0.14,0.969,-13.802,0.0346,102.787,0.328,0,2013,0.0,0.503,0.083,0.8807,0.414,0.42
16yCM31oNobdEpimWVfB5L,David Bowie,7.0,1.0,Star - 2012 Remaster,12,0.17800000000000002,0.452,167551.0,0.851,4.19e-05,0.185,-8.71,0.0445,138.52,0.552,0,2015,0.0,0.223,0.106,0.6249,0.672,0.117
1YwdJ7TVMa5uLt7JgCD9IK,Tierra Cali,2.0,1.0,Llorarás,50,0.175,0.755,231878.0,0.69,7.26e-06,0.133,-5.386,0.0325,124.895,0.917,0,2006,0.0,0.074,0.0,0.6124,0.926,0.074
4MJfCOcc2PpWOrUqOpvy1S,Bryce Vine,10.0,1.0,Sunflower Seeds,63,0.194,0.723,228610.0,0.593,5.350000000000001e-05,0.217,-5.816,0.0308,92.985,0.273,0,2016,1.0,0.196,0.044,0.9474,0.76,0.15200000000000002
3mkNZA4Q0dYvZIn6OZEmOz,Halestorm,4.0,0.0,Familiar Taste of Poison,48,0.153,0.235,244067.0,0.584,0.0,0.108,-5.9689999999999985,0.0319,104.908,0.078,0,2009,0.0,0.362,0.087,0.875,0.55,0.275
7uUahoeqGNRMbpdeiLj1rS,Au/Ra,8.0,1.0,Panic Room,74,0.152,0.495,237773.0,0.426,5.65e-06,0.099,-9.434,0.0736,97.91,0.0636,0,2018,1.0,0.319,0.297,-0.1779,0.384,0.02200000000000002
6QWniaitONimLqysaA6cwe,Bryan Adams,10.0,1.0,This Is Where I Belong,50,0.846,0.221,141133.0,0.305,9.14e-05,0.348,-15.491,0.029,96.592,0.109,0,2002,0.0,0.47,0.0,0.886,0.53,0.47
5s5K4wDAyhKr9KANDwt1xI,Los Rehenes,0.0,1.0,Ni El Primero Ni El Último,46,0.493,0.735,174293.0,0.529,4.96e-06,0.257,-7.6389999999999985,0.0411,84.45,0.963,0,2001,0.0,0.0,0.0,0.0,1.0,0.0
204t45WAKNBDJdNBQGoaPU,Red Carpet,7.0,1.0,Alright - Radio Edit,0,0.0745,0.67,225747.0,0.649,0.0586,0.213,-9.179,0.042,129.945,0.431,0,2013,0.0,0.45,0.0,0.9349,0.55,0.45
2423gyT9B3zNqC9ZD8QfSu,Faith Evans,7.0,1.0,Can't Believe (feat. Carl Thomas),48,0.0684,0.784,300160.0,0.518,1.55e-06,0.0646,-4.828,0.0496,89.59100000000002,0.491,0,2001,0.0,0.139,0.104,0.3939,0.757,0.03500000000000002
4KhanrenBxgyXYkFCArMyd,Kelly Rowland,5.0,0.0,Kisses Down Low,53,0.0166,0.632,254867.0,0.723,3.74e-05,0.104,-9.323,0.0682,137.958,0.243,0,2013,1.0,0.413,0.08,0.9932,0.507,0.33299999999999996
1Uq394qwP4Nz9ZonRr3RrA,Boosie Badazz,11.0,0.0,Zoom (feat. Yung Joc),46,0.00265,0.779,285040.0,0.616,8.27e-05,0.339,-8.852,0.15,160.91899999999995,0.171,0,2006,1.0,0.156,0.063,0.9313,0.781,0.093
1SJ7iG7shJKXgM2jjHI5Bk,Reel Big Fish,5.0,1.0,Drunk Again,40,0.446,0.602,290040.0,0.383,0.0,0.122,-6.562,0.0306,125.156,0.219,0,2002,0.0,0.18,0.218,-0.3802,0.603,-0.038000000000000006
04MVfudMyLaJ2xUWDwyzUk,Willet,5.0,0.0,War and Peace,0,6.21e-06,0.388,214597.0,0.878,3.92e-05,0.517,-7.555,0.0561,91.948,0.5529999999999999,0,2019,0.0,0.361,0.154,0.5719,0.485,0.207
4FthwGFz9SVZgCVqxNXsSK,Adelitas Way,11.0,1.0,Invincible,62,0.000213,0.405,190133.0,0.962,2.31e-06,0.108,-4.894,0.0842,170.023,0.489,0,2009,1.0,0.352,0.024,0.9785,0.624,0.32799999999999996
2IuUMx3uxxJAHcH41aYtn0,Bing Crosby,10.0,1.0,Winter Wonderland - Remastered 2006,74,0.828,0.5920000000000001,144253.0,0.23,0.0,0.12,-13.603,0.0511,126.655,0.537,0,2006,0.0,0.25,0.029,0.9146,0.721,0.221
2ugAOltSeiFqKHItLMKFK3,Slipknot,0.0,1.0,The Negative One,57,0.0002,0.505,325171.0,0.979,0.00135,0.334,-1.665,0.0715,108.2,0.312,0,2014,1.0,0.2,0.239,-0.6416,0.561,-0.03899999999999998
2WObDBPZ4UZ8yBBf1R41QL,Porcupine Tree,2.0,1.0,Blackest Eyes,52,0.0013800000000000002,0.498,263547.0,0.845,0.00255,0.09,-5.122999999999998,0.0373,95.175,0.13699999999999998,0,2002,1.0,0.138,0.134,0.0516,0.728,0.0040000000000000036
3PfE0RGeID7Vqs9DygY9RM,Maná,7.0,1.0,Ojalá Pudiera Borrarte,59,0.324,0.535,296493.0,0.691,1.84e-06,0.138,-6.393,0.0304,170.122,0.7240000000000001,0,2006,0.0,0.065,0.0,0.6124,0.935,0.065
10hMM5nsZQf66ldBlgWBfG,Labrinth,3.0,1.0,All For Us - from the HBO Original Series Euphoria,75,0.0165,0.348,192987.0,0.652,0.000264,0.33,-7.145,0.0931,70.956,0.172,0,2019,1.0,0.263,0.075,0.9154,0.662,0.188
2sFbkUKUAmzRFY4bxYrDVU,The Belle Isle Rats,8.0,1.0,Raymond Is a Badass Once a Year,0,0.503,0.6629999999999999,204536.0,0.764,0.0,0.113,-5.714,0.289,152.175,0.519,0,2019,0.0,0.163,0.285,-0.9081,0.552,-0.12199999999999997
455Wl8I3r4THRxqmW2p8hx,Pino Daniele,11.0,0.0,...E Cerca 'E Me Capi' - Remastered 2008,9,0.8859999999999999,0.5670000000000001,148680.0,0.35600000000000004,1.52e-06,0.29100000000000004,-4.239,0.0346,111.954,0.512,0,2008,1.0,0.0,0.0,0.0,1.0,0.0
63bo7NDoWdMFXufhsYOxwG,Ariana Grande,2.0,1.0,Almost Is Never Enough,58,0.8240000000000001,0.32299999999999995,327773.0,0.327,0.0,0.101,-7.494,0.0411,81.329,0.335,0,2013,0.0,0.167,0.111,0.4749,0.722,0.05600000000000001
